symbol,series,52w_high,52w_high_date,52w_low,52w_low_date
DEEM,ST,64.45,23-SEP-2025,29.35,30-MAR-2026
DEEP,EQ,39.98,24-AUG-2026,34.20,02-SEP-2026
DEEPA,EQ,-,-,-,-
DEEPAI$,BE,-,-,-,-
DEEPAKCHE$,SM,-,-,-,-
DEEPAKFERT,EQ,1681.00,04-AUG-2026,866.40,23-MAR-2026
DEEPAKNTR,EQ,1904.40,24-SEP-2025,1280.00,30-MAR-2026
DEEPAKSP$,EQ,-,-,-,-
DEEPINDS,EQ,799.50,07-SEP-2026,330.00,13-MAR-2026
DEFENCE,EQ,85.60,19-AUG-2026,58.91,30-MAR-2026
DEFENCINAV,EQ,-,-,-,-
DEFRAIL$,SM,-,-,-,-
DELAPLEX,SM,194.85,03-OCT-2025,80.00,25-AUG-2026
DELHIVERY,EQ,524.00,10-JUL-2026,374.45,21-JAN-2026
DELPHIFX,BE,18.25,13-FEB-2026,5.80,04-SEP-2026
DELTACORP,EQ,86.61,08-SEP-2025,48.30,30-MAR-2026
DELTAMAGNT,EQ,93.45,08-SEP-2025,45.51,30-MAR-2026
DELTIC,SM,71.60,15-SEP-2025,28.05,30-MAR-2026
DEN,EQ,37.35,17-SEP-2025,22.52,30-MAR-2026
DENEERS,SM,295.00,08-SEP-2025,132.00,20-NOV-2025
DENISCHEM$,EQ,-,-,-,-
DENORA,EQ,960.35,24-JUN-2026,559.00,01-FEB-2026
DENTA,EQ,479.60,07-OCT-2025,222.00,09-MAR-2026
DENTALKART,SM,635.60,22-SEP-2025,322.50,25-MAR-2026
DESCO$,SM,-,-,-,-
DESHRAK$,BE,-,-,-,-
DESIFARMS$,BE,-,-,-,-
DESTINY,SM,143.00,15-OCT-2025,100.00,24-SEP-2025
DEVIT,EQ,45.51,10-SEP-2025,22.25,02-MAR-2026
DEVITRD$,BE,-,-,-,-
DEVLAB$,SM,-,-,-,-
DEVSON$,SM,-,-,-,-
DEVX,EQ,64.05,17-SEP-2025,29.95,30-MAR-2026
DEVYANI,EQ,191.00,11-SEP-2025,91.55,02-APR-2026
DFL$,EQ,-,-,-,-
DFPL$,SM,-,-,-,-
DGCONTENT,EQ,39.57,04-NOV-2025,21.61,24-JUN-2026
DGL$,ST,-,-,-,-
DHABRIYA,BE,603.00,24-AUG-2026,485.00,17-AUG-2026
DHAMPURE$,EQ,-,-,-,-
DHAMPURSUG,EQ,199.92,24-AUG-2026,110.00,21-JAN-2026
DHANBANK,EQ,36.85,07-JUL-2026,19.45,30-MAR-2026
DHANFAB$,EQ,-,-,-,-
DHANLAXMI,SM,45.45,16-SEP-2025,20.05,30-MAR-2026
DHANROTO$,EQ,-,-,-,-
DHANSA,SM,47.00,28-NOV-2025,16.20,01-APR-2026
DHANSAFAL$,EQ,-,-,-,-
DHANUKA,EQ,1620.40,29-SEP-2025,889.60,30-MAR-2026
DHANWEL$,ST,-,-,-,-
DHARAN,BZ,.61,29-SEP-2025,.11,25-MAY-2026
DHARARAIL,ST,172.50,10-JUN-2026,90.05,30-MAR-2026
DHARFIN$,BE,-,-,-,-
DHARIWAL,SM,48.30,05-MAR-2026,16.55,16-OCT-2025
DHARMAJ,EQ,376.00,08-SEP-2025,210.65,27-JAN-2026
DHARNI$,SM,-,-,-,-
DHATRE,EQ,5.17,07-SEP-2026,3.67,17-AUG-2026
DHAVAL$,SM,-,-,-,-
DHENUBUIL$,BE,-,-,-,-
DHILLON$,SM,-,-,-,-
DHINDIA$,EQ,-,-,-,-
DHOOTIN$,BE,-,-,-,-
DHOOTTRANS,EQ,1665.20,26-AUG-2026,1131.00,17-AUG-2026
DHPIND$,EQ,-,-,-,-
DHRUV,EQ,61.24,09-SEP-2025,22.02,13-AUG-2026
DHRUVCA$,EQ,-,-,-,-
DHTL,SM,125.20,03-NOV-2025,29.90,25-AUG-2026
DHUNINV,EQ,1573.10,17-OCT-2025,667.10,30-MAR-2026
DHVIJAFIN$,BE,-,-,-,-
DIACABS,BE,379.00,12-AUG-2026,115.57,02-FEB-2026
DIAMANT$,BE,-,-,-,-
DIAMINESQ,EQ,379.00,08-SEP-2025,208.01,24-MAR-2026
DIAMONDYD,EQ,1245.00,11-AUG-2026,858.90,27-MAR-2026
DIANATEA$,EQ,-,-,-,-
DICIND,EQ,638.95,04-SEP-2026,450.50,19-JAN-2026
DIDL$,EQ,-,-,-,-
DIFFNKG,EQ,519.90,04-SEP-2026,216.80,19-MAR-2026
DIGIDRIVE,EQ,34.37,11-SEP-2025,16.10,27-MAR-2026
DIGIKORE,SM,100.00,03-NOV-2025,30.25,28-AUG-2026
DIGISPICE,EQ,35.50,16-SEP-2025,14.82,30-MAR-2026
