symbol,series,52w_high,52w_high_date,52w_low,52w_low_date
KDML$,ST,-,-,-,-
KEC,EQ,937.80,23-SEP-2025,399.55,07-SEP-2026
KECL,EQ,155.00,06-AUG-2026,75.47,27-JAN-2026
KEEPLEARN,EQ,3.21,24-OCT-2025,1.51,22-JUL-2026
KEERTHI$,EQ,-,-,-,-
KEI,EQ,5899.00,18-AUG-2026,3728.70,22-JAN-2026
KEIL$,EQ,-,-,-,-
KEL$,EQ,-,-,-,-
KELLTONTEC,EQ,28.13,08-SEP-2025,13.00,30-MAR-2026
KEMISTAR$,EQ,-,-,-,-
KEMP$,EQ,-,-,-,-
KEN,SM,54.85,09-SEP-2025,29.00,10-JUN-2026
KENFIN$,BE,-,-,-,-
KENNAMET,EQ,4860.00,28-AUG-2026,2405.20,24-APR-2026
KENRIK$,SM,-,-,-,-
KENVI$,EQ,-,-,-,-
KERALAYUR$,EQ,-,-,-,-
KERNEX,EQ,2580.00,06-AUG-2026,850.00,30-MAR-2026
KESAR$,SM,-,-,-,-
KESARENT$,BE,-,-,-,-
KESARPE$,EQ,-,-,-,-
KESORAMIND,BE,14.26,14-MAY-2026,4.55,19-NOV-2025
KETOMOTOR$,BE,-,-,-,-
KEYCORP$,EQ,-,-,-,-
KEYFINSERV,EQ,382.10,06-NOV-2025,220.00,30-MAR-2026
KFBL$,EQ,-,-,-,-
KFINTECH,EQ,1215.00,28-OCT-2025,784.95,18-MAY-2026
KGES$,ST,-,-,-,-
KGPETRO$,EQ,-,-,-,-
KGVL$,SM,-,-,-,-
KHADIM,BE,295.80,22-SEP-2025,77.47,30-MAR-2026
KHAICHEM,EQ,135.80,16-SEP-2025,42.92,30-MAR-2026
KHAITANLTD,EQ,178.00,03-SEP-2026,85.00,12-JAN-2026
KHANDSE,EQ,26.88,22-SEP-2025,12.20,30-MAR-2026
KHAZANCHI$,SM,-,-,-,-
KHFM,SM,82.95,28-OCT-2025,42.00,25-AUG-2026
KHOOBSURA$,EQ,-,-,-,-
KHYATI$,BE,-,-,-,-
KIAASA$,SM,-,-,-,-
KICL,EQ,6554.90,28-OCT-2025,4011.00,30-MAR-2026
KIDUJA$,EQ,-,-,-,-
KIFS$,EQ,-,-,-,-
KILITCH,BE,219.50,28-OCT-2025,117.25,30-MAR-2026
KIMIABL$,EQ,-,-,-,-
KIMS,EQ,858.00,06-JUL-2026,575.80,27-JAN-2026
KINETRU$,BE,-,-,-,-
KINGFA,EQ,6200.00,13-AUG-2026,3649.90,09-DEC-2025
KINGSINFR$,EQ,-,-,-,-
KIOCL,EQ,634.55,06-OCT-2025,290.65,16-MAR-2026
KIRANPR$,BE,-,-,-,-
KIRANVYPAR,EQ,219.00,10-AUG-2026,148.27,03-JUN-2026
KIRIINDUS,EQ,779.00,01-JAN-2026,333.80,30-MAR-2026
KIRLFER,EQ,513.00,22-JUN-2026,408.00,11-JUN-2026
KIRLOSBROS,EQ,2189.20,22-JUN-2026,1335.00,30-MAR-2026
KIRLOSENG,EQ,2720.00,23-JUN-2026,855.80,08-SEP-2025
KIRLOSIND,EQ,4574.80,23-JUN-2026,2463.00,30-MAR-2026
KIRLPNU,EQ,1098.55,22-JUN-2026,495.05,09-DEC-2025
KISAAN$,EQ,-,-,-,-
KISSHT,EQ,351.50,27-JUL-2026,190.00,08-MAY-2026
KITEX,EQ,232.70,24-OCT-2025,122.75,02-SEP-2026
KIZI$,ST,-,-,-,-
KJMCCORP$,EQ,-,-,-,-
KJMCFIN,EQ,84.50,24-AUG-2026,51.01,17-AUG-2026
KKALPANAI$,EQ,-,-,-,-
KKCL,EQ,595.00,23-SEP-2025,408.35,23-MAR-2026
KKJEWELS,SM,119.00,05-JUN-2026,72.10,04-MAR-2026
KKPLASTIC$,BE,-,-,-,-
KKSHL$,SM,-,-,-,-
KKSILK$,ST,-,-,-,-
KKVAPOW,SM,693.00,10-FEB-2026,368.00,26-AUG-2026
KLASSROOM$,SM,-,-,-,-
KLBRENG-B,EQ,544.85,21-APR-2026,332.40,17-AUG-2026
KLGCAP$,BE,-,-,-,-
KLIFESTYL$,BE,-,-,-,-
KLL,SM,73.00,08-SEP-2025,21.00,27-AUG-2026
KLRFM$,EQ,-,-,-,-
KMCSHIL,EQ,148.00,17-AUG-2026,131.45,02-SEP-2026
KMEW,EQ,3175.00,04-SEP-2026,851.65,09-SEP-2025
KMGMILK$,BE,-,-,-,-
KMSMEDI$,ST,-,-,-,-
KMSUGAR,EQ,36.50,24-AUG-2026,23.00,01-FEB-2026
KNACK,EQ,222.00,10-AUG-2026,180.33,08-JUL-2026
KNAGRI,EQ,244.00,14-OCT-2025,148.30,18-FEB-2026
KNRCON,EQ,220.00,17-SEP-2025,108.65,27-MAR-2026
KOCONSINAV,EQ,-,-,-,-
KODYTECH,ST,1596.00,04-SEP-2026,556.05,31-OCT-2025
KOHINOOR,EQ,38.47,25-AUG-2026,19.20,30-MAR-2026
KOKMNCINAV,EQ,-,-,-,-
KOKUYOCMLN,EQ,119.59,08-SEP-2025,71.05,30-MAR-2026
KOLTEPATIL,EQ,554.60,11-AUG-2026,292.25,30-MAR-2026
KONARKSY$,BE,-,-,-,-
KONNDOR$,BE,-,-,-,-
KONSTELEC,ST,75.65,21-OCT-2025,28.00,25-MAR-2026
KONTOR,SM,87.00,07-MAY-2026,49.30,07-SEP-2026
KOPRAN,EQ,253.71,07-SEP-2026,107.00,30-MAR-2026
KORE,SM,212.30,13-NOV-2025,85.00,01-APR-2026
KOTAKAINAV,EQ,-,-,-,-
KOTAKBANK,EQ,453.20,20-OCT-2025,345.50,02-APR-2026
KOTAKBINAV,EQ,-,-,-,-
KOTAKGINAV,EQ,-,-,-,-
KOTAKIINAV,EQ,-,-,-,-
KOTAKLINAV,EQ,-,-,-,-
KOTAKMINAV,EQ,-,-,-,-
KOTAKNINAV,EQ,-,-,-,-
KOTAKPINAV,EQ,-,-,-,-
KOTAKSINAV,EQ,-,-,-,-
KOTAKVINAV,EQ,-,-,-,-
KOTARISUG,BE,39.94,24-AUG-2026,22.50,30-MAR-2026
